
JAGDFOLGE|lemma idGJ00099.GJ00099 | f.|gram idGJ00099.GJ00099 |
JAGDFREI|lemma idGJ00100.GJ00100 | adj.|gram idGJ00100.GJ00100 |
JAGDFREUND|lemma idGJ00101.GJ00101 |
JAGDFREVEL|lemma idGJ00102.GJ00102 |
JAGDFREVLER|lemma idGJ00103.GJ00103 | m.|gram idGJ00103.GJ00103 |
JAGDFROHNE|lemma idGJ00104.GJ00104 | f.|gram idGJ00104.GJ00104 |
JAGDFRÖHNER|lemma idGJ00105.GJ00105 | m.|gram idGJ00105.GJ00105 |
JAGDFUHRE|lemma idGJ00106.GJ00106 | f.|gram idGJ00106.GJ00106 |
JAGDGAUL|lemma idGJ00107.GJ00107 | m.|gram idGJ00107.GJ00107 |
JAGDGEBRAUCH|lemma idGJ00108.GJ00108 | m.|gram idGJ00108.GJ00108 |
JAGDGEBRÜLL|lemma idGJ00109.GJ00109 | m.|gram idGJ00109.GJ00109 |
JAGDGEDICHT|lemma idGJ00110.GJ00110 | n.|gram idGJ00110.GJ00110 |
JAGDGEFÄHRTE|lemma idGJ00111.GJ00111 | m.|gram idGJ00111.GJ00111 |
JAGDGEFOLGE|lemma idGJ00112.GJ00112 | n.|gram idGJ00112.GJ00112 |
JAGDGEHEGE|lemma idGJ00113.GJ00113 | n.|gram idGJ00113.GJ00113 |
JAGDGEHEUL|lemma idGJ00114.GJ00114 | n.|gram idGJ00114.GJ00114 |
JAGDGELD|lemma idGJ00115.GJ00115 | n.|gram idGJ00115.GJ00115 |
JAGDGENOSSE|lemma idGJ00116.GJ00116 | m.|gram idGJ00116.GJ00116 |
JAGDGENOSSENSCHAFT|lemma idGJ00117.GJ00117 | f.|gram idGJ00117.GJ00117 |
JAGDGERÄTH|lemma idGJ00118.GJ00118 | n.|gram idGJ00118.GJ00118 |
JAGDGERECHT|lemma idGJ00119.GJ00119 | adj. und adv.|gram idGJ00119.GJ00119 |
JAGDGERECHTIGKEIT|lemma idGJ00120.GJ00120 | f.|gram idGJ00120.GJ00120 |
JAGDGERECHTSAME|lemma idGJ00121.GJ00121 | f.|gram idGJ00121.GJ00121 |
JAGDGESANG|lemma idGJ00122.GJ00122 | m.|gram idGJ00122.GJ00122 |
JAGDGESCHICHTE|lemma idGJ00123.GJ00123 | f.|gram idGJ00123.GJ00123 |
JAGDGESCHOSZ|lemma idGJ00124.GJ00124 | n.|gram idGJ00124.GJ00124 |
JAGDGESCHREI|lemma idGJ00125.GJ00125 | n.|gram idGJ00125.GJ00125 |
JAGDGESELLSCHAFT|lemma idGJ00126.GJ00126 | f.|gram idGJ00126.GJ00126 |
JAGDGESETZ|lemma idGJ00127.GJ00127 | n.|gram idGJ00127.GJ00127 |
JAGDGESETZGEBUNG|lemma idGJ00128.GJ00128 | f.|gram idGJ00128.GJ00128 |
JAGDGESETZLICH|lemma idGJ00129.GJ00129 | adj. und adv.|gram idGJ00129.GJ00129 |
JAGDGESINDE|lemma idGJ00130.GJ00130 | n.|gram idGJ00130.GJ00130 |
JAGDGETÜMMEL|lemma idGJ00131.GJ00131 | n.|gram idGJ00131.GJ00131 |
JAGDGEWEHR|lemma idGJ00132.GJ00132 | n.|gram idGJ00132.GJ00132 |
JAGDGEWOHNT|lemma idGJ00133.GJ00133 |JAGDGEWÖHNT|variant idGJ00133.GJ00133 | adj.|gram idGJ00133.GJ00133 |
JAGDGEZELT|lemma idGJ00134.GJ00134 | n.|gram idGJ00134.GJ00134 |
JAGDGEZEUG|lemma idGJ00135.GJ00135 | n.|gram idGJ00135.GJ00135 |
JAGDGLÜCK|lemma idGJ00136.GJ00136 | n.|gram idGJ00136.GJ00136 |
JAGDGÖTTIN|lemma idGJ00137.GJ00137 | f.|gram idGJ00137.GJ00137 |
JAGDGRENZE|lemma idGJ00138.GJ00138 | f.|gram idGJ00138.GJ00138 |
JAGDGRUND|lemma idGJ00139.GJ00139 | m.|gram idGJ00139.GJ00139 |
JAGDHALSBAND|lemma idGJ00140.GJ00140 | n.|gram idGJ00140.GJ00140 |
JAGDHANDWERK|lemma idGJ00141.GJ00141 | n.|gram idGJ00141.GJ00141 |
JAGDHANDWERKER|lemma idGJ00142.GJ00142 | m.|gram idGJ00142.GJ00142 |
JAGDHAUS|lemma idGJ00143.GJ00143 | n.|gram idGJ00143.GJ00143 |
JAGDHERR|lemma idGJ00144.GJ00144 | m.|gram idGJ00144.GJ00144 |
JAGDHIEB|lemma idGJ00145.GJ00145 | m.|gram idGJ00145.GJ00145 |
JAGDHIEF|lemma idGJ00146.GJ00146 | m.|gram idGJ00146.GJ00146 |
JAGDHITZE|lemma idGJ00147.GJ00147 | f.|gram idGJ00147.GJ00147 |
JAGDHOF|lemma idGJ00148.GJ00148 | m.|gram idGJ00148.GJ00148 |
JAGDHORN|lemma idGJ00149.GJ00149 | n.|gram idGJ00149.GJ00149 |
JAGDHORNZEICHEN|lemma idGJ00150.GJ00150 | n.|gram idGJ00150.GJ00150 |
JAGDHUND|lemma idGJ00151.GJ00151 | m.|gram idGJ00151.GJ00151 |
JAGDHUT|lemma idGJ00152.GJ00152 | m.|gram idGJ00152.GJ00152 |
JAGDINHABER|lemma idGJ00153.GJ00153 | m.|gram idGJ00153.GJ00153 |
JAGDJAHR|lemma idGJ00154.GJ00154 | n.|gram idGJ00154.GJ00154 |
JAGDJUNKER|lemma idGJ00155.GJ00155 | m.|gram idGJ00155.GJ00155 |
JAGDKALENDER|lemma idGJ00156.GJ00156 | m.|gram idGJ00156.GJ00156 |
JAGDKANZEL|lemma idGJ00157.GJ00157 | f.|gram idGJ00157.GJ00157 |
JAGDKANZLEI|lemma idGJ00158.GJ00158 | f.|gram idGJ00158.GJ00158 |
JAGDKAPPE|lemma idGJ00159.GJ00159 | f.|gram idGJ00159.GJ00159 |
JAGDKLEID|lemma idGJ00160.GJ00160 | n.|gram idGJ00160.GJ00160 |
JAGDKLEIDUNG|lemma idGJ00161.GJ00161 | f.|gram idGJ00161.GJ00161 |
JAGDKLEPPER|lemma idGJ00162.GJ00162 | m.|gram idGJ00162.GJ00162 |
JAGDKÖNIG|lemma idGJ00163.GJ00163 | m.|gram idGJ00163.GJ00163 |
JAGDKREIS|lemma idGJ00164.GJ00164 | m.|gram idGJ00164.GJ00164 |
JAGDKUGEL|lemma idGJ00165.GJ00165 | f.|gram idGJ00165.GJ00165 |
JAGDKUNDE|lemma idGJ00166.GJ00166 | f.|gram idGJ00166.GJ00166 |
JAGDKUNDIG|lemma idGJ00167.GJ00167 | adj.|gram idGJ00167.GJ00167 |
JAGDLAGER|lemma idGJ00168.GJ00168 | n.|gram idGJ00168.GJ00168 |
JAGDLANDKNECHT|lemma idGJ00169.GJ00169 | m.|gram idGJ00169.GJ00169 |
JAGDLÄUFER|lemma idGJ00170.GJ00170 | m.|gram idGJ00170.GJ00170 |
JAGDLEHEN|lemma idGJ00171.GJ00171 | n.|gram idGJ00171.GJ00171 |
JAGDLEUTE|lemma idGJ00172.GJ00172 |
JAGDLIEBHABER|lemma idGJ00173.GJ00173 | m.|gram idGJ00173.GJ00173 |
JAGDLIEBHABEREI|lemma idGJ00174.GJ00174 | f.|gram idGJ00174.GJ00174 |
JAGDLUST|lemma idGJ00175.GJ00175 | f.|gram idGJ00175.GJ00175 |
JAGDLUSTIG|lemma idGJ00176.GJ00176 | adj.|gram idGJ00176.GJ00176 |
JAGDMANN|lemma idGJ00177.GJ00177 | m.|gram idGJ00177.GJ00177 |
JAGDMEISTER|lemma idGJ00178.GJ00178 | m.|gram idGJ00178.GJ00178 |
JAGDMESSER|lemma idGJ00179.GJ00179 |
JAGDMÜDE|lemma idGJ00180.GJ00180 | adj.|gram idGJ00180.GJ00180 |
JAGDMUFF|lemma idGJ00181.GJ00181 | m.|gram idGJ00181.GJ00181 |
JAGDMUSIK|lemma idGJ00182.GJ00182 |
JAGDNARR|lemma idGJ00183.GJ00183 | m.|gram idGJ00183.GJ00183 |
JAGDNETZ|lemma idGJ00184.GJ00184 |
JAGDNUTZUNG|lemma idGJ00185.GJ00185 | f.|gram idGJ00185.GJ00185 |
JAGDORDEN|lemma idGJ00186.GJ00186 | m.|gram idGJ00186.GJ00186 |
JAGDORDNUNG|lemma idGJ00187.GJ00187 | f.|gram idGJ00187.GJ00187 |
JAGDPACHT|lemma idGJ00188.GJ00188 | f.|gram idGJ00188.GJ00188 |
