
U|lemma idGU00001.GU00001 |
ÜBELRÜCHIG|lemma idGU00128.GU00128 | adj.|gram idGU00128.GU00128 |
ÜBELRÜCHTIG|lemma idGU00129.GU00129 | adj.|gram idGU00129.GU00129 |
ÜBELSÄFTIGKEIT|lemma idGU00130.GU00130 | f.|gram idGU00130.GU00130 |
ÜBELSAGER|lemma idGU00131.GU00131 | m.|gram idGU00131.GU00131 |
ÜBELSAGUNG|lemma idGU00132.GU00132 | f.|gram idGU00132.GU00132 |
ÜBELSÄSSIG|lemma idGU00133.GU00133 | adj.|gram idGU00133.GU00133 |
ÜBELSCHMACK|lemma idGU00134.GU00134 | m.|gram idGU00134.GU00134 |
ÜBELSCHMECKEND|lemma idGU00135.GU00135 | adj.|gram idGU00135.GU00135 |
ÜBELSCHMECKIG|lemma idGU00136.GU00136 | adj.|gram idGU00136.GU00136 |
ÜBELSCHWALL|lemma idGU00137.GU00137 | m.|gram idGU00137.GU00137 |
ÜBELSEHEND|lemma idGU00138.GU00138 | adj.|gram idGU00138.GU00138 |
ÜBELSEHIG|lemma idGU00139.GU00139 | adj.|gram idGU00139.GU00139 |
ÜBELSEIN|lemma idGU00140.GU00140 | n.|gram idGU00140.GU00140 |
ÜBELSICHTIG|lemma idGU00141.GU00141 | adj.|gram idGU00141.GU00141 |
ÜBELSINNIG|lemma idGU00142.GU00142 | adj.|gram idGU00142.GU00142 |
ÜBELSPRACHE|lemma idGU00143.GU00143 | f.|gram idGU00143.GU00143 |
ÜBELSPRECHEN|lemma idGU00144.GU00144 | v.|gram idGU00144.GU00144 |
ÜBELSPRECHER|lemma idGU00145.GU00145 | m.|gram idGU00145.GU00145 |
ÜBELSTAND|lemma idGU00146.GU00146 | m.|gram idGU00146.GU00146 |
ÜBELSTÄNDIG|lemma idGU00147.GU00147 | adj.|gram idGU00147.GU00147 |
ÜBELSTÄNDIGKEIT|lemma idGU00148.GU00148 | f.|gram idGU00148.GU00148 |
ÜBELSTÄNDLICH|lemma idGU00149.GU00149 | adj.|gram idGU00149.GU00149 |
ÜBELSTEHEND|lemma idGU00150.GU00150 | adj.|gram idGU00150.GU00150 |
ÜBELSTIFTER|lemma idGU00151.GU00151 | m.|gram idGU00151.GU00151 |
ÜBELSTIMMIG|lemma idGU00152.GU00152 | adj.|gram idGU00152.GU00152 |
ÜBELSTINKEND|lemma idGU00153.GU00153 | adj.|gram idGU00153.GU00153 |
ÜBELTHAT|lemma idGU00154.GU00154 | f.|gram idGU00154.GU00154 |
ÜBELTHÄTER|lemma idGU00155.GU00155 | m.|gram idGU00155.GU00155 |
ÜBELTHÄTERIN|lemma idGU00156.GU00156 | f.|gram idGU00156.GU00156 |
ÜBELTHÄTERISCH|lemma idGU00157.GU00157 | adj.|gram idGU00157.GU00157 |
ÜBELTHÄTIG|lemma idGU00158.GU00158 | adj.|gram idGU00158.GU00158 |
ÜBELTHÄTIGER|lemma idGU00159.GU00159 | m.|gram idGU00159.GU00159 |
ÜBELTHÄTIGKEIT|lemma idGU00160.GU00160 | f.|gram idGU00160.GU00160 |
ÜBELTHÄTISCH|lemma idGU00161.GU00161 | adj.|gram idGU00161.GU00161 |
ÜBELTHÄTLICH|lemma idGU00162.GU00162 | adv.|gram idGU00162.GU00162 |
ÜBELTHUER|lemma idGU00163.GU00163 | m.|gram idGU00163.GU00163 |
ÜBELTHUN|lemma idGU00164.GU00164 | v.|gram idGU00164.GU00164 |
ÜBELTHUUNG|lemma idGU00165.GU00165 | f.|gram idGU00165.GU00165 |
ÜBELTÖNEND|lemma idGU00166.GU00166 | adj.|gram idGU00166.GU00166 |
ÜBELTÖNIG|lemma idGU00167.GU00167 | adj.|gram idGU00167.GU00167 |
ÜBELVERHALTEN|lemma idGU00168.GU00168 | n.|gram idGU00168.GU00168 |
ÜBELVERHALTUNG|lemma idGU00169.GU00169 | f.|gram idGU00169.GU00169 |
ÜBELVERSTAND|lemma idGU00170.GU00170 | m.|gram idGU00170.GU00170 |
ÜBELVERSTANDEN|lemma idGU00171.GU00171 | adj.|gram idGU00171.GU00171 |
ÜBELWENDER|lemma idGU00172.GU00172 | m.|gram idGU00172.GU00172 |
ÜBELWERKER|lemma idGU00173.GU00173 | m.|gram idGU00173.GU00173 |
ÜBELWILLIG|lemma idGU00174.GU00174 | adj.|gram idGU00174.GU00174 |
ÜBELWILLIGKEIT|lemma idGU00175.GU00175 | f.|gram idGU00175.GU00175 |
ÜBELWOLLEN|lemma idGU00176.GU00176 | v.|gram idGU00176.GU00176 |
ÜBELWOLLEN|lemma idGU00177.GU00177 | n.|gram idGU00177.GU00177 |
ÜBELWOLLEND|lemma idGU00178.GU00178 | adj. u. adv.|gram idGU00178.GU00178 |
ÜBELWOLLER|lemma idGU00179.GU00179 | m.|gram idGU00179.GU00179 |
ÜBELWOLLUNG|lemma idGU00180.GU00180 | f.|gram idGU00180.GU00180 |
ÜBELWORT|lemma idGU00181.GU00181 | n.|gram idGU00181.GU00181 |
ÜBELWÜNSCHEN|lemma idGU00182.GU00182 | n.|gram idGU00182.GU00182 |
ÜBELWÜNSCHUNG|lemma idGU00183.GU00183 | f.|gram idGU00183.GU00183 |
ÜBELZECH|lemma idGU00184.GU00184 | adj.|gram idGU00184.GU00184 |
ÜBELZECHKEIT|lemma idGU00185.GU00185 | f.|gram idGU00185.GU00185 |
ÜBELZEIT|lemma idGU00186.GU00186 | f.|gram idGU00186.GU00186 |
ÜBELZEITIG|lemma idGU00187.GU00187 | adj.|gram idGU00187.GU00187 |
ÜBELZUFRIEDEN|lemma idGU00188.GU00188 | adj. u. adv.|gram idGU00188.GU00188 |
ÜBELZUFRIEDENHEIT|lemma idGU00189.GU00189 | f.|gram idGU00189.GU00189 |
ÜBEN|lemma idGU00190.GU00190 | v.|gram idGU00190.GU00190 |
ÜBEN|lemma idGU00191.GU00191 | adv.|gram idGU00191.GU00191 |
ÜBER|lemma idGU00192.GU00192 | m.|gram idGU00192.GU00192 |
ÜBER|lemma idGU00193.GU00193 | raumadv. und präp.|gram idGU00193.GU00193 |
ÜBERAB|lemma idGU00194.GU00194 |
ÜBERACHT|lemma idGU00195.GU00195 | f.|gram idGU00195.GU00195 |
ÜBERACKERN|lemma idGU00196.GU00196 | v.|gram idGU00196.GU00196 |
ÜBERALL|lemma idGU00197.GU00197 |
ÜBERALPISCH|lemma idGU00198.GU00198 | adj.|gram idGU00198.GU00198 |
ÜBERALT|lemma idGU00199.GU00199 | adj.|gram idGU00199.GU00199 |
ÜBERANBOT|lemma idGU00200.GU00200 | n.|gram idGU00200.GU00200 |ÜBERANGEBOT|variant idGU00200.GU00200 |
ÜBERANSTRENGEN|lemma idGU00201.GU00201 | v.|gram idGU00201.GU00201 |
ÜBERANSTRENGUNG|lemma idGU00202.GU00202 | f.|gram idGU00202.GU00202 |
ÜBERANTWORTEN|lemma idGU00203.GU00203 | v.|gram idGU00203.GU00203 |
ÜBERANTWORTUNG|lemma idGU00204.GU00204 | f.|gram idGU00204.GU00204 |
ÜBERARBEIT|lemma idGU00205.GU00205 | f.|gram idGU00205.GU00205 |
ÜBERARBEITEN|lemma idGU00206.GU00206 | v.|gram idGU00206.GU00206 |
ÜBERARBEITUNG|lemma idGU00207.GU00207 | f.|gram idGU00207.GU00207 |
ÜBERÄRMEL|lemma idGU00208.GU00208 | m.|gram idGU00208.GU00208 |
ÜBERART|lemma idGU00209.GU00209 | f.|gram idGU00209.GU00209 |
ÜBERART|lemma idGU00210.GU00210 | f.|gram idGU00210.GU00210 |
ÜBERAUF|lemma idGU00211.GU00211 |
ÜBERÄUGIG|lemma idGU00212.GU00212 | adj.|gram idGU00212.GU00212 |
ÜBERAUS|lemma idGU00213.GU00213 |
ÜBERBACKEN|lemma idGU00214.GU00214 | v.|gram idGU00214.GU00214 |
ÜBERBAND|lemma idGU00215.GU00215 | n.|gram idGU00215.GU00215 |
ÜBERBARBARISCH|lemma idGU00216.GU00216 | adj. u. adv.|gram idGU00216.GU00216 |
ÜBERBART|lemma idGU00217.GU00217 | m.|gram idGU00217.GU00217 |
ÜBERBAU|lemma idGU00218.GU00218 | m.|gram idGU00218.GU00218 |
ÜBERBAUEN|lemma idGU00219.GU00219 | v.|gram idGU00219.GU00219 |
ÜBERBAUUNG|lemma idGU00220.GU00220 | f.|gram idGU00220.GU00220 |
ÜBERBÄUMEN|lemma idGU00221.GU00221 | v.|gram idGU00221.GU00221 |
ÜBERBEDÄCHTIG|lemma idGU00222.GU00222 | adj. u. adv.|gram idGU00222.GU00222 |
ÜBERBEFRIEDIGEN|lemma idGU00223.GU00223 | v.|gram idGU00223.GU00223 |
ÜBERBEFRUCHTEN|lemma idGU00224.GU00224 | v.|gram idGU00224.GU00224 |
ÜBERBEHALTEN|lemma idGU00225.GU00225 | v.|gram idGU00225.GU00225 |
ÜBERBEIN|lemma idGU00226.GU00226 | n.|gram idGU00226.GU00226 |
ÜBERBEISZEN|lemma idGU00227.GU00227 | v.|gram idGU00227.GU00227 |
ÜBERBEKOMMEN|lemma idGU00228.GU00228 | v.|gram idGU00228.GU00228 |
ÜBERBESCHÄFTIGT|lemma idGU00229.GU00229 | adj.|gram idGU00229.GU00229 |
ÜBERBESCHEIDEN|lemma idGU00230.GU00230 | adj.|gram idGU00230.GU00230 |
ÜBERBESSERUNG|lemma idGU00231.GU00231 | f.|gram idGU00231.GU00231 |
ÜBERBESOLDUNG|lemma idGU00232.GU00232 | f.|gram idGU00232.GU00232 |
ÜBERBESTIALISCH|lemma idGU00233.GU00233 | adj.|gram idGU00233.GU00233 |
ÜBERBETT|lemma idGU00234.GU00234 | n.|gram idGU00234.GU00234 |
ÜBERBEUGEN|lemma idGU00235.GU00235 | v.|gram idGU00235.GU00235 |
ÜBERBEVÖLKERN|lemma idGU00236.GU00236 | v.|gram idGU00236.GU00236 |
ÜBERBEWUSZT|lemma idGU00237.GU00237 | adj.|gram idGU00237.GU00237 |
ÜBERBEZAHLEN|lemma idGU00238.GU00238 | v.|gram idGU00238.GU00238 |
ÜBERBIEGEN|lemma idGU00239.GU00239 | v.|gram idGU00239.GU00239 |
ÜBERBIETEN|lemma idGU00240.GU00240 | v.|gram idGU00240.GU00240 |
ÜBERBILDEN|lemma idGU00241.GU00241 | v.|gram idGU00241.GU00241 |
ÜBERBILDUNG|lemma idGU00242.GU00242 | f.|gram idGU00242.GU00242 |
ÜBERBINDE|lemma idGU00243.GU00243 | f.|gram idGU00243.GU00243 |
ÜBERBINDEN|lemma idGU00244.GU00244 | v.|gram idGU00244.GU00244 |
ÜBERBITTEN|lemma idGU00245.GU00245 | v.|gram idGU00245.GU00245 |
ÜBERBLASEN|lemma idGU00246.GU00246 | v.|gram idGU00246.GU00246 |
ÜBERBLATT|lemma idGU00247.GU00247 | n.|gram idGU00247.GU00247 |
ÜBERBLATTEN|lemma idGU00248.GU00248 | v.|gram idGU00248.GU00248 |
