
Z|lemma idGZ00001.GZ00001 |
ZAGEWURM|lemma idGZ00100.GZ00100 | m.|gram idGZ00100.GZ00100 |
ZAGHAFT|lemma idGZ00101.GZ00101 | adj. und adv.|gram idGZ00101.GZ00101 |
ZAGHAFTIG|lemma idGZ00102.GZ00102 | adj.|gram idGZ00102.GZ00102 |
ZAGHAFTIGKEIT|lemma idGZ00103.GZ00103 | f.|gram idGZ00103.GZ00103 |
ZAGHAFTIGLICH|lemma idGZ00104.GZ00104 | adv.|gram idGZ00104.GZ00104 |
ZAGHALS|lemma idGZ00105.GZ00105 | m.|gram idGZ00105.GZ00105 |
ZAGHEIT|lemma idGZ00106.GZ00106 | f.|gram idGZ00106.GZ00106 |
ZAGIG|lemma idGZ00107.GZ00107 | adj.|gram idGZ00107.GZ00107 |
ZAGLICH|lemma idGZ00108.GZ00108 |ZÄGLICH|variant idGZ00108.GZ00108 | adj. u. adv.|gram idGZ00108.GZ00108 |
ZAGLOHN|lemma idGZ00109.GZ00109 | n.|gram idGZ00109.GZ00109 |
ZAGLOS|lemma idGZ00110.GZ00110 | adj. und adv.|gram idGZ00110.GZ00110 |
ZAGMETZE|lemma idGZ00111.GZ00111 | f.|gram idGZ00111.GZ00111 |
ZAGMÜTIG|lemma idGZ00112.GZ00112 | adj. und adv.|gram idGZ00112.GZ00112 |
ZAGNIS|lemma idGZ00113.GZ00113 | f.|gram idGZ00113.GZ00113 |
ZAGREDE|lemma idGZ00114.GZ00114 | f.|gram idGZ00114.GZ00114 |
ZAGUNG|lemma idGZ00115.GZ00115 | f.|gram idGZ00115.GZ00115 |
ZÄHE|lemma idGZ00116.GZ00116 |ZÄH|variant idGZ00116.GZ00116 | adj. und adv.|gram idGZ00116.GZ00116 |
ZÄHE|lemma idGZ00117.GZ00117 | f.|gram idGZ00117.GZ00117 |
ZÄHEISEN|lemma idGZ00118.GZ00118 | n.|gram idGZ00118.GZ00118 |
ZÄHER|lemma idGZ00119.GZ00119 | m.|gram idGZ00119.GZ00119 |
ZÄHFLÜSSIG|lemma idGZ00120.GZ00120 | adj.|gram idGZ00120.GZ00120 |
ZÄHGEBE|lemma idGZ00121.GZ00121 | adj.|gram idGZ00121.GZ00121 |
ZÄHHÄUTIG|lemma idGZ00122.GZ00122 | adj.|gram idGZ00122.GZ00122 |
ZÄHHEIT|lemma idGZ00123.GZ00123 | f.|gram idGZ00123.GZ00123 |
ZÄHIGKEIT|lemma idGZ00124.GZ00124 | f.|gram idGZ00124.GZ00124 |
ZAHL|lemma idGZ00125.GZ00125 | m.|gram idGZ00125.GZ00125 |
ZAHL|lemma idGZ00126.GZ00126 | f.|gram idGZ00126.GZ00126 |
ZAHLAMT|lemma idGZ00127.GZ00127 | n.|gram idGZ00127.GZ00127 |
ZAHLANGABE|lemma idGZ00128.GZ00128 | f.|gram idGZ00128.GZ00128 |
ZAHLANSEHEN|lemma idGZ00129.GZ00129 | n.|gram idGZ00129.GZ00129 |
ZÄHLAPPARAT|lemma idGZ00130.GZ00130 | m.|gram idGZ00130.GZ00130 |
ZÄHLART|lemma idGZ00131.GZ00131 | n.|gram idGZ00131.GZ00131 |
ZAHLBAR|lemma idGZ00132.GZ00132 | adj.|gram idGZ00132.GZ00132 |
ZÄHLBAR|lemma idGZ00133.GZ00133 | adj.|gram idGZ00133.GZ00133 |
ZAHLBARMACHUNG|lemma idGZ00134.GZ00134 | f.|gram idGZ00134.GZ00134 |
ZAHLBEGRÄBNIS|lemma idGZ00135.GZ00135 | n.|gram idGZ00135.GZ00135 |
ZAHLBEGRIFF|lemma idGZ00136.GZ00136 | m.|gram idGZ00136.GZ00136 |
ZAHLBEZEICHNUNG|lemma idGZ00137.GZ00137 | f.|gram idGZ00137.GZ00137 |
ZÄHLBEZIRK|lemma idGZ00138.GZ00138 | m.|gram idGZ00138.GZ00138 |
ZÄHLBLATT|lemma idGZ00139.GZ00139 | m.|gram idGZ00139.GZ00139 |
ZAHLBLUT|lemma idGZ00140.GZ00140 | m.|gram idGZ00140.GZ00140 |
ZÄHLBOGEN|lemma idGZ00141.GZ00141 | m.|gram idGZ00141.GZ00141 |
ZAHL-|lemma idGZ00142.GZ00142 |ZÄHLBRET|variant idGZ00142.GZ00142 | n.|gram idGZ00142.GZ00142 |
ZAHLBUCH|lemma idGZ00143.GZ00143 | n.|gram idGZ00143.GZ00143 |
ZAHLBUCHSTABE|lemma idGZ00144.GZ00144 | m.|gram idGZ00144.GZ00144 |
ZÄHLCHEN|lemma idGZ00145.GZ00145 | n.|gram idGZ00145.GZ00145 |
ZÄHLEBIG|lemma idGZ00146.GZ00146 | adj.|gram idGZ00146.GZ00146 |
ZÄHLEBIGKEIT|lemma idGZ00147.GZ00147 | f.|gram idGZ00147.GZ00147 |
ZAHLEINHEIT|lemma idGZ00148.GZ00148 | f.|gram idGZ00148.GZ00148 |
ZAHLEINSCHRÄNKUNG|lemma idGZ00149.GZ00149 | f.|gram idGZ00149.GZ00149 |
ZAHLEINTHEILUNG|lemma idGZ00150.GZ00150 | f.|gram idGZ00150.GZ00150 |
ZAHLEN|lemma idGZ00151.GZ00151 | verb.|gram idGZ00151.GZ00151 |
